tconst	titleType	originalTitle	isAdult	startYear	runtimeMinutes	genres	averageRating	directors	writers	country
tt10230414	movie	Serious Men	0	2020	114	Comedy,Drama	6.8	Sudhir Mishra,Sachin Krishn	Niren Bhatt,Manu Joseph,Abhijeet Khuman,Bhavesh Mandalia,Nikhil Nair	IN
tt10230422	movie	Class of 83	0	2020	98	Crime,Drama,Thriller	5.8	Atul Sabharwal	Abhijeet Shirish Deshpande,Atul Sabharwal	IN
tt10230436	movie	Yeh Ballet	0	2020	117	Drama,Musical	7.5	Sooni Taraporevala	Sooni Taraporevala	IN
tt10235600	movie	Kaali Khuhi	0	2020	90	Drama,Horror,Mystery	3.7	Terrie Samundra	Rupinder Inderjit,David Walter Lech,Terrie Samundra	IN
tt10243678	movie	Chopsticks	0	2019	100	Comedy,Drama	6.5	Sachin Yardi	Rahul Awate,Sachin Yardi	IN
tt1024839	movie	De Taali	0	2008	140	Comedy,Drama,Romance	4.2	Eeshwar Nivas	Vishal Dadlani,Ruchika Roy,Abbas Tyrewala,Paakhi A. Tyrewala	IN
tt1024852	movie	Meerabai Not Out	0	2008	122	Comedy,Drama,Romance	4.0	Chandrakant Kulkarni	Ajit Dalvi,R.N. Dubey,Ashish Puri,Soumik Sen,Irfan Siddiqui	IN
tt1024943	movie	Om Shanti Om	0	2007	162	Action,Comedy,Drama	6.8	Farah Khan	Farah Khan,Mushtaq Shiekh,Mayur Puri	IN
tt10280276	movie	Coolie No.1	0	2020	134	Action,Comedy,Romance	4.2	David Dhawan	Rumi Jaffery,Farhad Samji	IN
tt10280296	movie	Sardar Udham	0	2021	164	Crime,Drama,History	8.3	Shoojit Sircar	Shubhendu Bhattacharya,Ritesh Shah	IN
tt10288820	movie	Chhota Bheem Kung Fu Dhamaka	0	2019	97	Action,Adventure,Animation	5.2	Rajiv Chilaka,Binayak Das	Nidhi Anand,Teja Pratap	IN
tt1029231	movie	Krrish 3	0	2013	152	Action,Sci-Fi	5.4	Rakesh Roshan	Rakesh Roshan,Robin Bhatt,Honey Irani,Irfan Kamal,Akarsh Khurana,Sanjay Masoomm,David Benullo,Rajshri Sudhakar	IN
tt10295212	movie	Shershaah	0	2021	135	Action,Biography,Drama	8.3	Vishnuvardhan	Sandeep Shrivastava	IN
tt10305616	movie	Malaal	0	2019	136	Action,Drama,Romance	5.9	Mangesh Hadawale	Mangesh Hadawale,Sanjay Leela Bhansali,K. Selvaraghavan	IN
tt10309902	movie	Chehre	0	2021	139	Drama,Mystery,Thriller	6.2	Rumi Jaffery	Rumi Jaffery,Ranjit Kapoor	IN
tt10309906	movie	Shubh Mangal Zyada Saavdhan	0	2020	117	Comedy,Crime,Romance	5.8	Hitesh Kewalya	Hitesh Kewalya	IN
tt10318332	movie	Badnaam Gali	0	2019	95	Comedy	6.9	Ashwin Shetty	Ravi Bhushan,Ravi Bhushan,Mohinder Pratap Singh,Shabia Walia	IN
tt10324144	movie	Article 15	0	2019	130	Crime,Drama,Mystery	8.1	Anubhav Sinha	Anubhav Sinha,Gaurav Solanki	IN
tt10333912	movie	Gulabo Sitabo	0	2020	124	Comedy,Drama	6.3	Shoojit Sircar,Kuran Dhillon	Juhi Chaturvedi	IN
tt10334286	movie	Chhorriyan Chhoron Se Kam Nahi Hoti	0	2019	\N	Drama	6.9	Rajesh Babbar	Avantika Saxena,Amit Verma,Vinod Vats,Pravesh Rajput	IN
tt1034449	movie	Kidnap	0	2008	135	Action,Crime,Drama	4.6	Sanjay Gadhvi	Yatharth Awasthi,Shibani Bathija,Sanjay Gadhvi,Mayur Puri,Anshul Vijayvargiya,Sandeep Vyas,Sanjeev Vyas	IN
tt10350626	movie	Gunjan Saxena: The Kargil Girl	0	2020	112	Action,Biography,Drama	5.5	Sharan Sharma,Grswkk	Nikhil Mehrotra,Sharan Sharma,Hussain Dalal,Writer Bhaiya	IN
tt10350922	movie	Laxmii	0	2020	141	Action,Comedy,Horror	2.5	Raghava Lawrence,Balakrishnan Thevar	Farhad Samji,Raghava Lawrence,Sparsh Khetarpal,Tasha Bhambra	IN
tt10351180	movie	Bad Boy	0	2023	122	Comedy,Drama,Romance	6.6	Rajkumar Santoshi	Sanjeev,Ranjit Kapoor	IN
tt10393870	movie	Jayeshbhai Jordaar	0	2022	121	Comedy,Drama	6.0	Divyang Thakkar	Anckur Chaudhry,Divyang Thakkar	IN
tt1039989	movie	Sunday	0	2008	135	Action,Comedy,Mystery	5.5	Rohit Shetty	Robin Bhatt,Tushar Hiranandani,Sajid,Farhad Samji,K. Subhash,Chandra Sekhar Yeleti	IN
tt1039995	movie	U Me Aur Hum	0	2008	156	Drama,Romance	5.8	Ajay Devgn	Robin Bhatt,Ajay Devgn,Ashwani Dhir,Sutanu Gupta,Akarsh Khurana	IN
tt1043451	movie	Delhi-6	0	2009	141	Drama	6.2	Rakeysh Omprakash Mehra	Rakeysh Omprakash Mehra,Prasoon Joshi,Kamlesh Pandey	IN
tt1043876	movie	Woodstock Villa	0	2008	94	Crime,Mystery,Thriller	3.5	Hansal Mehta	The Aryans,S. Farhan,Rajiv Gopalkrishnan,Sanjay Gupta,Virag Mishra,Manoj Muntashir,Farhaan Salaruddin,Milap Zaveri	IN
tt10463030	movie	Bhoot: Part One - The Haunted Ship	0	2020	114	Horror,Mystery,Thriller	5.4	Bhanu Pratap Singh	Bhanu Pratap Singh	IN
tt1047459	movie	Dharm	0	2007	105	Drama,History	8.0	Bhavna Talwar	Varun Gautam,Vibha Singh	IN
tt1047519	movie	Red Swastik	0	2007	131	Crime,Drama,Thriller	3.0	Vinod Pande	Vinod Pande	IN
tt1050739	movie	Roadside Romeo	0	2008	93	Adventure,Animation,Comedy	4.9	Jugal Hansraj	Jugal Hansraj	IN
tt10515526	movie	Lootcase	0	2020	132	Comedy,Crime	7.5	Rajesh A Krishnan	Kapil Sawant,Rajesh A Krishnan	IN
tt10519182	movie	Khandaani Shafakhana	0	2019	136	Comedy,Drama	4.3	Shilpi Dasgupta	Gautam Mehra	IN
tt10543680	movie	Ginny Weds Sunny	0	2020	125	Comedy,Drama,Romance	5.7	Puneet Khanna	Sumit Arora,Navjot Gulati	IN
tt10545214	movie	Aliya Basu Gayab Hai	0	2024	103	Drama	6.1	Preeti Singh	J Blakeson,Gibran Noorani	IN
tt10569922	movie	Bunty Aur Babli 2	0	2021	138	Comedy,Crime,Romance	4.1	Varun V. Sharma	Varun V. Sharma,Aditya Chopra	IN
tt10598156	movie	Dhaakad	0	2022	135	Action,Thriller	3.8	Razneesh Ghai	Chintan Gandhi,Razneesh Ghai,Rajiv G. Menon,Rinish Ravindra,Ritesh Shah	IN
tt1060249	movie	Drona	0	2008	138	Action,Adventure,Fantasy	2.0	Goldie Behl	Goldie Behl,Rohini Killough,Vaibhav Modi,Jaydeep Sarkar	IN
tt10610440	movie	Tipppsy	0	2024	115	Adventure,Thriller	8.1	Deepak Tijori	Suvidha Mall,Deepak Tijori	IN
tt10635372	movie	Dee Saturday Night	0	2014	\N	Drama	\N	Jayprakkash Shaw	Miraq Mirza	IN
tt10644708	movie	Dhokha: Round D Corner	0	2022	122	Crime,Drama,Thriller	6.2	Kookie Gulati	Kookie Gulati,Neeraj Singh	IN
tt1065099	movie	My Friend Ganesha	0	2007	190	Animation,Fantasy	5.4	Rajiv S. Ruia	Rajiv S. Ruia,S. Sachinder	IN
tt10667122	movie	Sauda: The Deal	0	2005	\N	Drama	6.0	Jayprakkash Shaw	Miraq Mirza	IN
tt10671436	movie	Barot House	0	2019	89	Mystery,Thriller	7.2	Bugs Bhargava Krishna	Sanjeev K Jha	IN
tt10687220	movie	Nikamma	0	2022	152	Action,Comedy,Drama	2.8	Sabbir Khan,Arjunsinh Pravinsinh Zala	Sabbir Khan,Venu Sriram,Sanamjit Singh Talwar	IN
tt10699086	movie	Bachchhan Paandey	0	2022	147	Action,Comedy,Crime	5.0	Farhad Samji	Tasha Bhambra,Tushar Hiranandani,Sparsh Khetarpal,Sajid Nadiadwala,Zeishan Quadri,Farhad Samji,Karthik Subbaraj	IN
tt1073097	movie	Apna Asmaan	0	2007	110	Drama,Sci-Fi	6.1	Kaushik Roy	Kaushik Roy	IN
tt10731264	movie	Suraj Pe Mangal Bhari	0	2020	141	Comedy	5.9	Abhishek Sharma	Shokhi Banerjee,Rohan Shankar,Kamal Shukla	IN
tt10733228	movie	Gehraiyaan	0	2022	148	Drama,Romance	5.6	Shakun Batra	Shakun Batra,Ayesha DeVitre,Sumit Roy,Yash Sahai,Wajid Shaikh	IN
tt10739666	movie	Satyameva Jayate 2	0	2021	138	Action,Crime,Drama	3.3	Milap Zaveri	Milap Zaveri	IN
tt10741542	movie	Sherni	0	2021	131	Action,Adventure,Drama	6.8	Amit Masurkar	Aastha Tiku,Amit Masurkar,Yashasvi Mishra,Mehmet Tutkun	IN
tt10761694	movie	Tadap	0	2021	126	Action,Drama,Romance	5.1	Milan Luthria,Parthkumar Ashokbhai Patel	Rajat Arora,Muhammad Asif Ali,Ajay Bhupathi	IN
tt1077248	movie	Johnny Gaddaar	0	2007	135	Crime,Drama,Thriller	7.8	Sriram Raghavan	Vinay Choudary,Sriram Raghavan,Atul Taishete	IN
tt10786774	movie	Sam Bahadur	0	2023	150	Biography,Drama,War	7.7	Meghna Gulzar	Meghna Gulzar,Bhavani Iyer,Shantanu Srivastava	IN
tt10811166	movie	The Kashmir Files	0	2022	170	Drama	8.5	Vivek Agnihotri	Vivek Agnihotri,Saurabh M. Pandey	IN
tt1082075	movie	Pusher	0	2010	107	Action,Crime,Drama	6.2	Assad Raja	Jens Dahl,Assad Raja,Nicolas Winding Refn	IN
tt1083447	movie	Buddha Mar Gaya	0	2007	93	Comedy	3.0	Rahul Rawail	Raju Saigal,Anand Sivakumaran	IN
tt10840884	movie	Taish	0	2020	143	Action,Thriller	7.3	Bejoy Nambiar	Bejoy Nambiar,Anjali Nair,Kartik R. Iyer,Nicola Louise Taylor,Gunjit Chopra,Priyesh Kaushik	IN
tt1084972	movie	Wanted	0	2009	147	Action,Thriller	6.6	Prabhu Deva	Sunil Kumar Agrawal,Shabbir Ahmed,Shiraz Ahmed,Wajid Ali,Arun Bhairav,Puri Jagannadh,Rebel Ravi,Jalees Sherwani	IN
tt1085806	movie	Darling	0	2007	128	Comedy,Drama,Horror	4.1	Ram Gopal Varma	Prawaal Raman,Kusum Punjabi,Sameer	IN
tt10869778	movie	Maidaan	0	2024	181	Biography,Drama,History	7.9	Amit Ravindernath Sharma	Akash Chawla,Sidhant Mago,Saiwyn Quadras,Aman Rai,Arunava Joy Sengupta,Ritesh Shah,Atul Shahi,Amit Ravindernath Sharma	IN
tt10875678	movie	Happy Hardy and Heer	0	2020	123	Comedy,Romance	5.2	Raka	Sonia Kapoor,Bunty Rathore,Manasi Umanita	IN
tt1087856	movie	Hello	0	2008	129	Drama,Romance	3.3	Atul Agnihotri	Atul Agnihotri,Jalees Sherwani,Alok Upadhyay,Chetan Bhagat	IN
tt10885444	movie	Khaali Peeli	0	2020	119	Comedy,Romance	2.5	Maqbool Khan	Sima Agarwal,Suraj Gianani,Yash Keswani	IN
tt10888594	movie	Radhe	0	2021	109	Action,Thriller	1.8	Prabhu Deva	Vijay Maurya,A.C. Mughil	IN
tt10895556	movie	Rashmi Rocket	0	2021	129	Drama,Sport	7.1	Akarsh Khurana	Lisha Bajaj,Kanika Dhillon,Aniruddha Guha,Akarsh Khurana,Nanda Periyasamy	IN
tt10895576	movie	Mimi	0	2021	132	Comedy,Drama	7.8	Rajesh Bhatia,Laxman Utekar	Laxman Utekar,Rohan Shankar,Samruoddhi Porey	IN
tt1090650	movie	Dhokha	0	2007	117	Action,Drama,Romance	6.3	Pooja Bhatt	Shagufta Rafique	IN
tt1091229	movie	Chandni Chowk to China	0	2009	154	Action,Comedy,Drama	4.3	Nikkhil Advani	Rajat Arora,Kailash Kher,Shridhar Raghavan	IN
tt10916102	movie	Bahut Hua Sammaan	0	2020	125	Comedy,Crime,Drama	7.2	Ashish R. Shukla	Avinash Singh,Vijay Narayan Verma	IN
tt10919304	movie	Hurdang	0	2022	122	Drama,Romance	5.3	Nikhil Nagesh Bhat,Vishal Chaturvedi	Nikhil Nagesh Bhat,Kuldeep Ruhil	IN
tt1092005	movie	Golmaal Returns	0	2008	135	Comedy,Crime,Mystery	5.3	Rohit Shetty	Indie,Rumi Jaffery,Ashiesh Pandit,Mulraj Rajda,Yunus Sajawal,Sajid,Sameer,Farhad Samji,Neeraj Shridhar,Neeraj Vora	IN
tt10930586	movie	Shikara	0	2020	118	Drama,History,Romance	3.4	Vidhu Vinod Chopra	Vidhu Vinod Chopra,Abhijat Joshi,Rahul Pandita	IN
tt1093370	movie	Jab We Met	0	2007	138	Comedy,Drama,Romance	7.9	Imtiaz Ali	Imtiaz Ali	IN
tt10964430	movie	Thappad	0	2020	142	Drama	7.0	Anubhav Sinha	Mrunmayee Lagoo,Anubhav Sinha	IN
tt10964468	movie	Shakuntala Devi	0	2020	127	Biography,Drama	6.2	Anu Menon	Anu Menon,Nayanika Mahtani,Ishita Moitra	IN
tt1099196	movie	Dil Dosti Etc	0	2007	112	Comedy,Crime,Drama	6.9	Manish Tiwary	Kumaar,Prashant Pandey,Goutam Raam,Siddharth Singh,Pawan Sony,Suhas,Manish Tiwary	IN
tt11027830	movie	Haseen Dillruba	0	2021	135	Crime,Drama,Mystery	6.9	Vinil Mathew	Kanika Dhillon	IN
tt11027850	movie	Hacked	0	2020	118	Thriller	4.4	Vikram Bhatt	Rhea Anand,Govind Bhana,Vikram Bhatt,Rajkumar Janghare,Sandeep Prabhu,Srivinay Salian	IN
tt11045422	movie	Toofaan	0	2021	163	Drama,Sport	6.1	Rakeysh Omprakash Mehra	Vijay Maurya,Anjum Rajabali	IN
tt1105709	movie	8 x 10 Tasveer	0	2009	122	Action,Crime,Drama	5.5	Nagesh Kukunoor	Bohemia,Nagesh Kukunoor,Sameer,Irfan Siddiqui	IN
tt1105733	movie	Kismat Konnection	0	2008	153	Comedy,Drama,Romance	5.3	Aziz Mirza	Sanjay Chhel,Sai Kabir,Ashish Kariya,Rahila Mirza,Vibha Singh	IN
tt1105747	movie	Yuvvraaj	0	2008	151	Comedy,Drama,Musical	4.1	Subhash Ghai	Sachin Bhowmick,Subhash Ghai,Kamlesh Pandey	IN
tt1107308	movie	Aur Pappu Pass Ho Gaya	0	2007	142	Comedy,Drama,Musical	4.4	S. Soni	\N	IN
tt1108831	movie	Chhodon Naa Yaar	0	2007	97	Horror,Thriller	3.8	Dilip Virender Sood	Veena Advani,Sanjay Pawar,Dilip Virender Sood,Harish Vyas	IN
tt11095208	movie	Beautiful	0	2020	123	Drama	7.3	Agasthya Manju	K K Binojee,Agasthya Manju	IN
tt11112526	movie	Indoo Ki Jawani	0	2020	119	Comedy,Drama	3.4	Abir Sengupta	Abir Sengupta	IN
tt1111869	movie	50 Lakh	0	2007	\N	Comedy,Thriller	6.6	Chandra Sekhar Yeleti	Chandra Sekhar Yeleti	IN
tt1114725	movie	Heroes	0	2008	139	Action,Adventure,Comedy	5.7	Samir Karnik	Aseem Arrora,Samir Karnik	IN
tt11213600	movie	Sardar Ka Grandson	0	2021	139	Comedy,Drama,Romance	4.3	Kaashvi Nair	Anuja Chauhan,Amitosh Nagpal,Kaashvi Nair	IN
tt11231440	movie	Doordarshan	0	2020	119	Comedy,Drama	6.1	Gagan Puri	Gagan Puri	IN
tt1124386	movie	Pankh	0	2010	98	Drama	3.6	Sudipto Chattopadhyay	Sudipto Chattopadhyay	IN
tt11260832	movie	Bellbottom	0	2021	123	Action,Thriller	6.1	Ranjit Tewari	Aseem Arrora,Parveez Shaikh,Vashu Bhagnani	IN
tt11261918	movie	O Pushpa I Hate Tears	0	2020	127	Comedy,Thriller	4.0	Dinkar Kapoor	Aadesh K. Arjun	IN
tt1126516	movie	Money Hai Toh Honey Hai	0	2008	138	Comedy,Drama	2.9	Ganesh Acharya	Muazzam Beg,Sameer	IN
tt1127220	movie	Mr Bhatti on Chutti	0	2012	\N	Comedy	3.9	Karan Razdan	Aneesh Dev,Karan Razdan	IN
tt1127870	movie	Mumbai Salsa	0	2007	\N	Comedy,Drama	5.0	Manoj Tyagi	Dheeraj Rattan,Manoj Tyagi	IN
tt11314148	movie	Shiddat	0	2021	146	Romance	7.6	Kunal Deshmukh	Shridhar Raghavan,Dheeraj Rattan,Pooja Ladha Surti,Sara Bodinar	IN
tt1132595	movie	Maan Gaye Mughall-E-Azam	0	2008	137	Comedy,Crime,Drama	3.2	Sanjay Chhel	Sanjay Chhel,Sunil Munshi	IN
tt1132606	movie	Ugly Aur Pagli	0	2008	117	Comedy,Drama	3.8	Sachin Kamlakar Khot	Anil Pandey,Suparn Varma,Amitabh Verma	IN
tt1135931	movie	Chintu Ji	0	2009	115	Comedy,Drama	5.5	Ranjit Kapoor	Shabbir Ahmed,Yash Bhardwaj,Bikramjeet Bhullar,Ranjit Kapoor,Sameer,Shashikant Verma	IN
tt1137434	movie	Aabra Ka Daabra	0	2004	144	Fantasy	2.8	Dheeraj Kumar	\N	IN
tt1137979	movie	Rama Rama Kya Hai Dramaaa	0	2008	180	Comedy,Drama,Romance	4.1	Chandrakant Singh	Chandrakant Singh,Hossain Mohammad Salim,M. Salim	IN
tt11433822	movie	Aankh Micholi	0	2023	144	Comedy,Family	5.8	Umesh Shukla	Jitendra Parmar	IN
tt11442270	movie	Bunker	0	2020	98	Drama,War	7.0	Jugal Raja	Jugal Raja	IN
tt1144804	movie	Kambakkht Ishq	0	2009	142	Action,Comedy,Romance	3.9	Sabbir Khan	Sabbir Khan,Ishita Moitra,Anvita Dutt,Kiran Kotrial	IN
tt11460818	movie	Helmet	0	2021	104	Comedy,Drama	6.5	Satram Ramani	Gopal Mudhane,Satram Ramani,Rohan Shankar,Amit Tyagi	IN
tt11460992	movie	Runway 34	0	2022	145	Drama,Thriller	7.0	Ajay Devgn	Sandeep Kewlani,Aamil Keeyan Khan	IN
tt1146325	movie	Singh Is Kinng	0	2008	135	Action,Comedy,Crime	5.8	Anees Bazmee	Anees Bazmee,Vipul Binjola,Suresh Nair,Rishi Virmani	IN
tt11495838	movie	Tauba Tera Jalwa	0	2024	130	Romance,Thriller	5.8	Akashaditya Lama	Akashaditya Lama	IN
tt11502856	movie	The Hundred Bucks	0	2020	102	Drama	7.0	Dushyant Pratap Singh	Vishnupriya Singh	IN
tt11508224	movie	Kaanchli Life in a Slough	0	2020	101	Drama	5.0	Dedipya Joshii	Kailash Detha,Vijayadan Detha,Dedipya Joshii	IN
tt11509538	movie	Haunted Hills	0	2020	102	Horror	7.7	Sanjeev Kumar Rajput	Sanjeev Kumar Rajput	IN
tt1152845	movie	Showbiz	0	2007	108	Action,Drama,Music	3.7	Raju Khan	Mudassar Aziz,Raju Khan,Shagufta Rafique	IN
tt1156148	movie	Karzzzz	0	2008	142	Action,Drama,Musical	2.3	Satish Kaushik	Shiraz Ahmed,Sameer	IN
tt11573410	movie	Guns of Banaras	0	2020	134	Action	5.8	Shekkhar Suri,Rahul Kamboj	Anshuman Chaturvedi	IN
tt1158700	movie	Desh Drohi	0	2008	140	Action,Thriller	1.2	Jagdish A. Sharma	Vimal Kashyap,Kamal Rashid Khan,Thakor Shivaji Pravinji	IN
tt11591854	movie	M3 - Midsummer Midnight Mumbai	0	2014	\N	Thriller	\N	Braj Bhushan	Braj Bhushan	IN
tt1159917	movie	Bombay to Bangkok	0	2008	120	Comedy,Crime,Romance	4.7	Nagesh Kukunoor	Nagesh Kukunoor	IN
tt11599966	movie	Pagleaazam	0	2020	123	Comedy	7.3	Vikas Kavthekar,Aps Raghuvanshi,Jatinkumar Jagdishbhai Patel,inderjeet Singh	Abhishek Bhagat,Aditya Pratap Singh Raghuvanshi	IN
tt11651780	movie	Choked	0	2020	114	Drama	5.7	Anurag Kashyap	Nihit Bhave	IN
tt11651796	movie	AK vs AK	0	2020	108	Comedy,Crime,Drama	6.9	Vikramaditya Motwane	Anurag Kashyap,Vikramaditya Motwane,Avinash Sampath	IN
tt1166100	movie	Ghajini	0	2008	186	Action,Mystery,Thriller	7.4	A.R. Murugadoss	Piyush Mishra,A.R. Murugadoss,Athar Nawaaz	IN
tt11680920	movie	Music School	0	2023	125	Drama,Musical	6.0	Paparao Biyyala	Paparao Biyyala,Aripirala Satyaprasad,Shivani Tibrewala,Vinay Varma	IN
tt11691696	movie	Shukranu	0	2020	90	Drama	6.4	Bishnu Dev Halder	Bishnu Dev Halder,Ravi Kumar,Sudhir Singh	IN
tt1169841	movie	Return of Hanuman	0	2007	110	Action,Adventure,Animation	7.5	Anurag Kashyap	Anurag Kashyap	IN
tt1170399	movie	C Kkompany	0	2008	127	Comedy,Drama,Thriller	5.5	Sachin Yardi	Shabbir Ahmed,Anand Raj Anand,Rahul Awate,Sachin Yardi	IN
tt1170404	movie	Mere Baap Pehle Aap	0	2008	163	Comedy,Drama,Romance	5.5	Priyadarshan	Manisha Korde,Priyadarshan,Kalavoor Ravikumar,Sameer	IN
tt1170411	movie	Victory	0	2009	160	Drama,Sport	3.8	Ajit Pal Mangat	Darab Farooqui,Kannan Iyer,Anupam Maanav,Ajit Pal Mangat	IN
tt1172587	movie	Delhi Safari	0	2012	96	Adventure,Animation,Comedy	5.5	Nikkhil Advani	Nikkhil Advani,Rahul Awate,Girish Dhamija,Suresh Nair,Milap Zaveri	IN
tt11730940	movie	Bamfaad	0	2020	102	Romance	5.8	Ranjan Chandel	Ranjan Chandel,Hanzalah Shahid	IN
tt1174041	movie	Main Aurr Mrs Khanna	0	2009	109	Comedy,Drama,Romance	3.4	Prem Soni	Arun Bhairav,Suzanne D'Mello,Jalees Sherwani,Prem Soni	IN
tt1176960	movie	One Two Three	0	2008	135	Comedy,Crime	5.5	Ashwani Dhir	Ashwani Dhir	IN
tt1176961	movie	Paying Guests	0	2009	109	Comedy,Drama	4.4	Paritosh Painter	Wajid Ali,Lawrence John,Rashid Khan,Paritosh Painter,Jalees Sherwani,A.K. Upadhyay	IN
tt11774804	movie	Court Martial	0	2020	120	Drama	7.1	Sourabh Shrivastava,Karwarkar Bhavika	Deepak Swadesh	IN
tt1178657	movie	Superstar	0	2008	120	Drama,Romance	6.1	Rohit Jugraj	Rohit Jugraj,Sudip Sharma,Rahul Singh	IN
tt11816092	movie	Hum Do Hamare Do	0	2021	128	Comedy	6.0	Abhishek Jain	Abhishek Jain,Prasshant Jha,Deepak Venkateshan	IN
tt1182884	movie	Dulha Mil Gaya	0	2010	152	Comedy,Drama,Romance	4.3	Mudassar Aziz	Mudassar Aziz,Vivek Vaswani	IN
tt1182908	movie	Krazzy 4	0	2008	110	Comedy,Crime,Drama	4.2	Jaideep Sen	Ashwani Dhir,Rakesh Roshan	IN
tt1182937	movie	Rab Ne Bana Di Jodi	0	2008	167	Comedy,Drama,Music	7.2	Aditya Chopra	Aditya Chopra	IN
tt1182972	movie	Bachna Ae Haseeno	0	2008	152	Comedy,Drama,Romance	6.2	Siddharth Anand	Aditya Chopra,Devika Bhagat,Anvita Dutt	IN
tt1183917	movie	Teen Patti	0	2010	140	Crime,Drama,Thriller	4.2	Leena Yadav	Shivkumar Subramaniam,Leena Yadav,Ben Rekhi	IN
tt1183946	movie	The Stoneman Murders	0	2009	95	Crime,Drama,Mystery	7.3	Manish Gupta	Manish Gupta	IN
tt1185412	movie	Veer	0	2010	169	Action,Adventure,Drama	4.6	Anil Sharma	Shailesh Verma,Shaktimaan Talwar,Salman Khan	IN
tt1185420	movie	Dostana	0	2008	145	Comedy,Drama,Romance	6.4	Tarun Mansukhani,Punit Malhotra	Anvita Dutt,Tarun Mansukhani	IN
tt1185442	movie	Kurbaan	0	2009	161	Action,Crime,Drama	5.7	Renzil D'Silva	Renzil D'Silva,Niranjan Iyengar,Karan Johar,Anurag Kashyap,Irfan Siddiqui	IN
tt1187043	movie	3 Idiots	0	2009	170	Comedy,Drama	8.4	Rajkumar Hirani	Abhijat Joshi,Rajkumar Hirani,Vidhu Vinod Chopra,Chetan Bhagat	IN
tt11873440	movie	Heropanti 2	0	2022	145	Action,Comedy,Crime	2.2	Ahmed Khan	Rajat Arora,Sajid Nadiadwala,Jagdish Sharma	IN
tt11880600	movie	Darbaan	0	2020	88	Drama	7.3	Bipin Nadkarni	Radhika Anand,Rakesh Jadhav,Bipin Nadkarni,Rabindranath Tagore	IN
tt1188982	movie	Jai Ho	0	2014	135	Action,Drama	5.0	Sohail Khan	A.R. Murugadoss,Dilip Shukla	IN
tt1188996	movie	My Name Is Khan	0	2010	165	Drama,Romance	7.9	Karan Johar	Shibani Bathija,Niranjan Iyengar	IN
tt1189006	movie	Toonpur Ka Superrhero	0	2010	95	Action,Adventure,Animation	4.4	Kireet Khurana	Raagii Bhatnagar,Bhimsain,Munna Dhiman,Mubeen Farooqi,Kireet Khurana,Kumaar	IN
tt11905536	movie	Gumraah	0	2023	130	Action,Crime,Drama	6.5	Vardhan Ketkar	Sunny Mandavarra,Magizh Thirumeni	IN
tt1191118	movie	Hello Darling	0	2010	104	Comedy,Drama	2.8	Manoj Shidheshwari Tiwari	Shabbir Ahmed,Kumaar,Ashiesh Pandit,Sachin Shah,Pankaj Trivedi	IN
tt1191130	movie	Right Yaaa Wrong	0	2010	135	Action,Crime,Drama	6.6	Neeraj Pathak	Sanjay Chauhan,Girish Dhamija,Neeraj Pathak,Sameer	IN
tt1191138	movie	Thoda Pyaar Thoda Magic	0	2008	145	Comedy,Drama,Family	5.0	Kunal Kohli	Rohena Gera,Kunal Kohli	IN
tt11934846	movie	Badhaai Do	0	2022	147	Comedy,Crime,Drama	7.0	Harshavardhan Kulkarni	Suman Adhikary,Akshat Ghildial,Harshavardhan Kulkarni	IN
tt1194232	movie	Jaane Kahan Se Aayi Hai	0	2010	94	Comedy,Drama,Fantasy	4.4	Milap Zaveri	Sameer,Milap Zaveri	IN
tt1194608	movie	Ek Vivaah... Aisa Bhi	0	2008	132	Drama,Romance	5.4	Kaushik Ghatak	Sooraj R. Barjatya,Ashapurna Devi,Ravindra Jain,Shashi Mittal,Sumeet Hukamchand Mittal	IN
tt11947158	movie	Ek Villain Returns	0	2022	129	Action,Romance,Thriller	4.4	Mohit Suri	Mohit Suri,Aseem Arrora	IN
tt11953628	movie	Maska	0	2020	111	Comedy,Drama,Romance	5.9	Neeraj Udhwani,Jaspal Singh	Ishita Moitra,Neeraj Udhwani	IN
tt11964084	movie	Virgin Bhanupriya	0	2020	111	Comedy,Drama	2.5	Ajay Lohan	Ajay Lohan	IN
tt11976134	movie	Singham Again	0	2024	144	Action,Crime,Drama	4.6	Rohit Shetty	Vidhi Ghodgaonkar,Abhijeet Khuman,Anusha Nandakumar,Kshitij Patwardhan,Yunus Sajawal,Sandeep Saket,Rohit Shetty,Shantanu Srivastava,Milap Zaveri	IN
tt1198101	movie	Kites	0	2010	123	Action,Drama,Romance	6.0	Anurag Basu	Anurag Basu,Robin Bhatt,Sanjeev Dutta,Akarsh Khurana,Rakesh Roshan	IN
tt1201557	movie	Acid Factory	0	2009	108	Action,Crime,Mystery	5.1	Suparn Varma	Milind Gadagkar,Sanjay Gupta,Saurabh Shukla,Suparn Varma	IN
tt1202517	movie	Barah Aana	0	2009	97	Comedy,Crime,Drama	6.7	Raja Menon	Raj Kumar Gupta,Raja Menon	IN
tt1202540	movie	Dil Bole Hadippa!	0	2009	148	Comedy,Drama,Romance	4.7	Anurag Singh	Aparajita,Jaya B.	IN
tt12044426	movie	Dheet Patangey	0	2020	\N	Drama,Romance,Sport	7.1	Ravi Adhikari	Ravi Adhikari,Gibran Noorani,Chintan Shah,Viral Shah	IN
tt1206283	movie	Black & White	0	2008	134	Crime,Drama,Thriller	6.2	Subhash Ghai	Sachin Bhowmick,Subhash Ghai,Akash Khurana	IN
